epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.334,1.15864,1.30844,1.1966,0,0,0,0,0,0,0,3.94108e-05,3.94108e-05,3.94108e-05
2,704.386,1.15126,0.93336,1.16727,0,0,0,0,0,0,0,7.64679e-05,7.64679e-05,7.64679e-05
3,302.54,1.10009,0.88894,1.14941,0,0,0,0,0,0,0,0.000110907,0.000110907,0.000110907
4,688.25,1.06415,0.85751,1.12445,0,0,0,0,0,0,0,0.000107219,0.000107219,0.000107219
5,308.951,1.01308,0.8066,1.10718,0,0,0,0,0,0,0,0.000103292,0.000103292,0.000103292
6,692.982,0.98317,0.78188,1.08368,0,0,0,0,0,0,0,9.9365e-05,9.9365e-05,9.9365e-05
7,299.676,0.94068,0.74552,1.07126,0,0,0,0,0,0,0,9.5438e-05,9.5438e-05,9.5438e-05
8,677.994,0.91623,0.71852,1.05115,0,0,0,0,0,0,0,9.1511e-05,9.1511e-05,9.1511e-05
9,302.438,0.878,0.68837,1.03942,0,0,0,0,0,0,0,8.7584e-05,8.7584e-05,8.7584e-05
10,650.174,0.86783,0.67357,1.0274,0,0,0,0,0,0,0,8.3657e-05,8.3657e-05,8.3657e-05
11,1092.56,1.13076,0.87953,1.16119,0,0,0,0,0,0,0,7.973e-05,7.973e-05,7.973e-05
12,1522.17,1.08937,0.84067,1.13769,0,0,0,0,0,0,0,7.5803e-05,7.5803e-05,7.5803e-05
13,281.25,0.85143,0.66462,1.02698,0,0,0,0,0,0,0,7.1876e-05,7.1876e-05,7.1876e-05
14,629.465,0.82768,0.63886,1.00966,0,0,0,0,0,0,0,6.7949e-05,6.7949e-05,6.7949e-05
15,1048.05,1.01976,0.77612,1.10369,0,0,0,0,0,0,0,6.4022e-05,6.4022e-05,6.4022e-05
16,280.386,0.7911,0.61645,1.00388,0,0,0,0,0,0,0,6.0095e-05,6.0095e-05,6.0095e-05
17,628.651,0.77817,0.60086,0.99095,0,0,0,0,0,0,0,5.6168e-05,5.6168e-05,5.6168e-05
18,1048.38,0.94503,0.71416,1.0684,0,0,0,0,0,0,0,5.2241e-05,5.2241e-05,5.2241e-05
19,1463.46,0.99781,0.75858,1.09251,0,0,0,0,0,0,0,4.8314e-05,4.8314e-05,4.8314e-05
20,1884.05,1.08902,0.82327,1.13378,0,0,0,0,0,0,0,4.4387e-05,4.4387e-05,4.4387e-05
21,2446.73,1.01941,0.73486,1.07572,0,0,0,0,0,0,0,4.046e-05,4.046e-05,4.046e-05
22,2954.65,1.00443,0.71035,1.07138,0,0,0,0,0,0,0,3.6533e-05,3.6533e-05,3.6533e-05
23,3512.37,0.98158,0.70206,1.06433,0,0,0,0,0,0,0,3.2606e-05,3.2606e-05,3.2606e-05
24,4033.72,0.97698,0.69923,1.05188,0,0,0,0,0,0,0,2.8679e-05,2.8679e-05,2.8679e-05
25,4599.38,0.98252,0.69233,1.05887,0,0,0,0,0,0,0,2.4752e-05,2.4752e-05,2.4752e-05
26,266.531,0.94108,0.66338,1.03619,0,0,0,0,0,0,0,2.0825e-05,2.0825e-05,2.0825e-05
27,578.995,0.96844,0.67647,1.04737,0,0,0,0,0,0,0,1.6898e-05,1.6898e-05,1.6898e-05
28,930.926,0.9552,0.68166,1.04656,0,0,0,0,0,0,0,1.2971e-05,1.2971e-05,1.2971e-05
29,1304.2,0.95034,0.67143,1.0399,0,0,0,0,0,0,0,9.044e-06,9.044e-06,9.044e-06
30,2088.95,0.95253,0.66493,1.04664,0.47272,0.0975,0.11165,0.07794,1.10217,0.81053,1.12599,5.117e-06,5.117e-06,5.117e-06
