epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.144,1.0965,1.89851,1.14134,0,0,0,0,0,0,0,3.92739e-05,3.92739e-05,3.92739e-05
2,128.282,1.40727,1.48806,2.23662,0,0,0,0,0,0,0,7.11255e-05,7.11255e-05,7.11255e-05
3,352.775,1.07138,0.75084,3.08087,0,0,0,0,0,0,0,9.5123e-05,9.5123e-05,9.5123e-05
4,314.306,1.07834,0.76161,2.03825,0,0,0,0,0,0,0,8.3657e-05,8.3657e-05,8.3657e-05
5,455.248,0.85679,0.58323,1.32186,0,0,0,0,0,0,0,7.1876e-05,7.1876e-05,7.1876e-05
6,118.45,0.7744,0.51586,1.09923,0,0,0,0,0,0,0,6.0095e-05,6.0095e-05,6.0095e-05
7,124.348,0.78341,0.60007,1.10561,0,0,0,0,0,0,0,4.8314e-05,4.8314e-05,4.8314e-05
8,117.751,0.72652,0.4837,1.05309,0,0,0,0,0,0,0,3.6533e-05,3.6533e-05,3.6533e-05
9,120.183,0.6562,0.44183,0.9938,0,0,0,0,0,0,0,2.4752e-05,2.4752e-05,2.4752e-05
10,247.094,0.74376,0.49305,1.04988,0.86478,0.37634,0.41128,0.288,1.18668,0.75177,1.35083,1.2971e-05,1.2971e-05,1.2971e-05
